# Fault-code wording of our own, for the codes SAE J2012 defines.
#
# Three tab-separated columns: the code, then Ukrainian, then Russian. The
# text is written from what the standard code means, not translated from any
# manufacturer's phrasing, so nothing in this file is derived from SDD. The
# English a user sees still comes from the loaded library; these two columns
# are what the interface shows when it is set to Ukrainian or Russian, and
# the original English stays beside them and in every report.
#
# Only codes the standard defines belong here — the generic ranges P0, P2,
# P34-P39, U0, B0, C0. A manufacturer-specific code's wording is the
# manufacturer's text and is never carried in this repository.
#
# Lines starting with # are ignored. Codes must be unique and sorted.
B0001	Керування спрацюванням подушки водія, ступінь 1	Управление срабатыванием подушки водителя, ступень 1
B0002	Керування спрацюванням подушки водія, ступінь 2	Управление срабатыванием подушки водителя, ступень 2
B0004	Керування спрацюванням колінної подушки водія	Управление срабатыванием коленной подушки водителя
B0005	Керування спрацюванням складаної рульової колонки	Управление срабатыванием складывающейся рулевой колонки
B0010	Керування спрацюванням подушки пасажира, ступінь 1	Управление срабатыванием подушки пассажира, ступень 1
B0011	Керування спрацюванням подушки пасажира, ступінь 2	Управление срабатыванием подушки пассажира, ступень 2
B0020	Керування спрацюванням лівої бічної подушки	Управление срабатыванием левой боковой подушки
B0021	Керування спрацюванням лівої шторки 1	Управление срабатыванием левой шторки 1
B0028	Керування спрацюванням правої бічної подушки	Управление срабатыванием правой боковой подушки
B0029	Керування спрацюванням правої шторки 1	Управление срабатыванием правой шторки 1
B0050	Датчик пасків безпеки водія	Датчик ремней безопасности водителя
B0052	Датчик пасків безпеки пасажира	Датчик ремней безопасности пассажира
B0053	Датчик паска безпеки лівого місця другого ряду	Датчик ремня безопасности левого места второго ряда
B0061	Датчик натягу паска безпеки пасажира	Датчик натяжения ремня безопасности пассажира
B0070	Керування спрацюванням переднатягувача паска водія	Управление срабатыванием преднатяжителя ремня водителя
B0072	Керування спрацюванням переднатягувача паска пасажира	Управление срабатыванием преднатяжителя ремня пассажира
B0091	Лівий бічний датчик удару 1	Левый боковой датчик удара 1
B0092	Лівий бічний датчик удару 2	Левый боковой датчик удара 2
B0096	Правий бічний датчик удару 1	Правый боковой датчик удара 1
B0097	Правий бічний датчик удару 2	Правый боковой датчик удара 2
B00A0	Система розпізнавання пасажира на сидінні	Система распознавания пассажира на сиденье
B00B5	Датчик поздовжнього положення сидіння водія	Датчик продольного положения сиденья водителя
B00B6	Датчик нахилу спинки сидіння водія	Датчик наклона спинки сиденья водителя
B00C1	Датчик зайнятості сидіння пасажира B	Датчик занятости сиденья пассажира B
B00C5	Датчик поздовжнього положення сидіння пасажира	Датчик продольного положения сиденья пассажира
B00C6	Датчик нахилу спинки сидіння пасажира	Датчик наклона спинки сиденья пассажира
B00D1	Індикатор паска безпеки пасажира	Индикатор ремня безопасности пассажира
B00D2	Контрольна лампа системи пасивної безпеки 1	Контрольная лампа системы пассивной безопасности 1
B00D5	Індикатор вимкнення подушки пасажира	Индикатор отключения подушки пассажира
B00DF	Вимикач подушки безпеки пасажира	Выключатель подушки безопасности пассажира
