# Our own wording for the parameter names SDD's catalogue uses.
#
# Three tab-separated columns: the English name, then Ukrainian, then
# Russian. The English is the key and is written exactly as the catalogue
# writes it, two spaces around a hyphen included; nothing here may be
# reflowed. The translation is this project's own work (`ADR-0025`), not
# SDD's — SDD publishes the catalogue in twelve languages and none of them
# is Ukrainian, and its Russian is not used.
#
# The English a user sees still comes from the loaded library, and every
# report keeps it whatever the interface language: a report is evidence, and
# evidence does not change language. A name with no row here shows its
# English.
-  Tampering error flag  Power off - tamper error	Прапорець помилки втручання — живлення вимкнено — Помилка втручання	Флаг ошибки вмешательства — питание выключено — Ошибка вмешательства
3.3 volts	3,3 В	3,3 В
Absolute load value	Абсолютне значення навантаження	Абсолютное значение нагрузки
Absolute position	Абсолютне положення	Абсолютное положение
Absolute throttle position	Абсолютне положення дросельної заслінки	Абсолютное положение дроссельной заслонки
Absolute throttle position B	Абсолютне положення дросельної заслінки B	Абсолютное положение дроссельной заслонки B
Absolute torque	Абсолютний крутний момент	Абсолютный крутящий момент
Accelerator pedal  -  Stored maximum pedal depression	Педаль акселератора — Збережене максимальне натискання педалі	Педаль акселератора — Сохраненное максимальное нажатие педали
Accelerator pedal position	Положення педалі акселератора	Положение педали акселератора
Accelerator pedal position  -  Sensor 1	Положення педалі акселератора — Датчик 1	Положение педали акселератора — Датчик 1
Accelerator pedal position  -  Sensor 2	Положення педалі акселератора — Датчик 2	Положение педали акселератора — Датчик 2
Accelerator pedal position sensor  -  Circuit  D	Датчик положення педалі акселератора — Коло D	Датчик положения педали акселератора — Цепь D
Accelerator pedal position sensor  -  Circuit  E	Датчик положення педалі акселератора — Коло E	Датчик положения педали акселератора — Цепь E
Accelerator pedal position sensor 1	Датчик положення педалі акселератора 1	Датчик положения педали акселератора 1
Accelerator pedal position sensor 2	Датчик положення педалі акселератора 2	Датчик положения педали акселератора 2
Accelerator pedal position sensor E circuit	Коло E датчика положення педалі акселератора	Цепь E датчика положения педали акселератора
Accelerator pedal propulsion  -  Quality factor	Запит тяги педаллю акселератора — Коефіцієнт якості	Запрос тяги педалью акселератора — Коэффициент качества
Accumulated difference of heat	Накопичена різниця тепла	Накопленная разница тепла
Accumulated request heat	Накопичений запит тепла	Накопленный запрос тепла
Accumulation of heating index	Накопичення індексу нагріву	Накопление индекса нагрева
Accumulation of ratio difference minus	Накопичення від’ємної різниці передаточного відношення	Накопление отрицательной разницы передаточного отношения
Accumulation of ratio difference plus	Накопичення додатної різниці передаточного відношення	Накопление положительной разницы передаточного отношения
Active diagnostic session	Активний діагностичний сеанс	Активный диагностический сеанс
Active diagnostic status	Активний діагностичний стан	Активное диагностическое состояние
Active mobile phone index	Індекс активного мобільного телефону	Индекс активного мобильного телефона
Active network configuration number	Номер активної конфігурації мережі	Номер активной конфигурации сети
Active roll control status  -  Active roll control isolation switch	Стан активної системи пригнічення крену — Ізолювальний перемикач активної системи пригнічення крену	Состояние активной системы подавления крена — Изолирующий переключатель активной системы подавления крена
Active roll control status  -  Control method running	Стан активної системи пригнічення крену — Метод керування активний	Состояние активной системы подавления крена — Метод управления активен
Active roll control status  -  Cornering detected	Стан активної системи пригнічення крену — Виявлено проходження повороту	Состояние активной системы подавления крена — Обнаружено прохождение поворота
Active roll control status  -  Ignition status	Стан активної системи пригнічення крену — Стан запалювання	Состояние активной системы подавления крена — Состояние зажигания
